Cluster_code,URBAN_RURAC254,fidN200_A,hv270_1_poorest,hv270_2_poor,hv270_3_middle,hv270_4_rich,hv270_5_richest,household_total,mean_score270_comb_R_U,mean270_R_U_separated,median_score_comb_R_U_270,median270a_U_R_separated
TZ001,R,45842,4.00,11.00,6.00,1.00,0.00,22.00,2.00,3.00,2.00,3.00
TZ002,R,45843,3.00,5.00,12.00,1.00,0.00,21.00,3.00,3.00,3.00,3.00
TZ003,U,45844,2.00,1.00,4.00,8.00,7.00,22.00,4.00,2.00,4.00,1.00
TZ004,R,45845,1.00,4.00,6.00,9.00,0.00,20.00,3.00,4.00,3.00,4.00
TZ005,R,45846,10.00,3.00,7.00,1.00,0.00,21.00,2.00,2.00,2.00,2.00
TZ006,R,45847,15.00,2.00,1.00,1.00,0.00,19.00,1.00,2.00,1.00,1.00
TZ007,R,45848,1.00,13.00,3.00,3.00,1.00,21.00,3.00,3.00,2.00,3.00
TZ008,R,45849,1.00,3.00,13.00,3.00,1.00,21.00,3.00,4.00,3.00,4.00
TZ009,R,45850,8.00,5.00,6.00,1.00,0.00,20.00,2.00,3.00,2.00,3.00
TZ010,R,45851,13.00,4.00,0.00,2.00,0.00,19.00,2.00,2.00,1.00,1.00
TZ011,U,45852,3.00,3.00,5.00,8.00,3.00,22.00,3.00,1.00,4.00,1.00
TZ012,R,45853,14.00,3.00,3.00,0.00,0.00,20.00,1.00,2.00,1.00,2.00
TZ013,R,45854,7.00,7.00,6.00,1.00,0.00,21.00,2.00,3.00,2.00,3.00
TZ014,R,45855,0.00,3.00,7.00,11.00,0.00,21.00,3.00,4.00,4.00,5.00
TZ015,U,45856,0.00,0.00,2.00,14.00,6.00,22.00,4.00,2.00,4.00,2.00
TZ016,U,45857,15.00,2.00,2.00,3.00,0.00,22.00,2.00,1.00,1.00,1.00
TZ017,R,45858,3.00,2.00,8.00,9.00,0.00,22.00,3.00,4.00,3.00,4.00
TZ018,R,45859,16.00,4.00,0.00,1.00,1.00,22.00,2.00,2.00,1.00,1.00
TZ019,R,45860,8.00,5.00,0.00,7.00,0.00,20.00,2.00,3.00,2.00,2.00
TZ020,R,45861,1.00,3.00,12.00,4.00,2.00,22.00,3.00,4.00,3.00,4.00
TZ021,U,45862,0.00,0.00,1.00,11.00,9.00,21.00,4.00,3.00,4.00,2.00
TZ022,R,45863,0.00,0.00,3.00,14.00,5.00,22.00,4.00,5.00,4.00,5.00
TZ023,R,45864,0.00,10.00,6.00,4.00,1.00,21.00,3.00,3.00,3.00,3.00
TZ024,R,45865,1.00,6.00,14.00,1.00,0.00,22.00,3.00,4.00,3.00,4.00
TZ025,R,45866,0.00,0.00,4.00,8.00,8.00,20.00,4.00,5.00,4.00,5.00
TZ026,U,45867,0.00,0.00,0.00,4.00,16.00,20.00,5.00,4.00,5.00,4.00
TZ027,U,45868,0.00,0.00,0.00,9.00,13.00,22.00,5.00,3.00,5.00,3.00
TZ028,U,45869,0.00,0.00,1.00,6.00,14.00,21.00,5.00,3.00,5.00,3.00
TZ029,U,45870,0.00,0.00,0.00,3.00,15.00,18.00,5.00,4.00,5.00,4.00
TZ030,U,45871,0.00,0.00,0.00,1.00,20.00,21.00,5.00,5.00,5.00,5.00
TZ031,R,45872,3.00,7.00,9.00,2.00,1.00,22.00,3.00,3.00,3.00,4.00
TZ032,R,45873,1.00,0.00,9.00,11.00,1.00,22.00,4.00,4.00,4.00,5.00
TZ033,U,45874,0.00,0.00,1.00,7.00,12.00,20.00,5.00,3.00,5.00,3.00
TZ034,R,45875,16.00,1.00,2.00,2.00,1.00,22.00,2.00,2.00,1.00,1.00
TZ035,R,45876,19.00,1.00,0.00,0.00,0.00,20.00,1.00,1.00,1.00,1.00
TZ036,R,45877,7.00,10.00,2.00,0.00,0.00,19.00,2.00,2.00,2.00,2.00
TZ037,R,45878,0.00,0.00,0.00,9.00,12.00,21.00,5.00,5.00,5.00,5.00
TZ038,R,45879,5.00,8.00,6.00,2.00,0.00,21.00,2.00,3.00,2.00,3.00
TZ039,R,45880,21.00,0.00,0.00,0.00,0.00,21.00,1.00,1.00,1.00,1.00
TZ040,R,45881,8.00,8.00,4.00,2.00,0.00,22.00,2.00,2.00,2.00,2.00
TZ041,R,45882,0.00,0.00,8.00,12.00,2.00,22.00,4.00,5.00,4.00,5.00
TZ042,R,45883,0.00,3.00,11.00,6.00,0.00,20.00,3.00,4.00,3.00,4.00
TZ043,U,45884,6.00,3.00,7.00,6.00,0.00,22.00,3.00,1.00,3.00,1.00
TZ044,R,45885,2.00,2.00,10.00,7.00,1.00,22.00,3.00,4.00,3.00,4.00
TZ045,R,45886,0.00,0.00,4.00,10.00,8.00,22.00,4.00,5.00,4.00,5.00
TZ046,R,45887,0.00,2.00,5.00,7.00,8.00,22.00,4.00,5.00,4.00,5.00
TZ047,U,45888,0.00,2.00,1.00,11.00,7.00,21.00,4.00,2.00,4.00,2.00
TZ048,R,45889,0.00,0.00,2.00,15.00,4.00,21.00,4.00,5.00,4.00,5.00
TZ049,U,45890,0.00,0.00,1.00,3.00,17.00,21.00,5.00,4.00,5.00,4.00
TZ050,R,45891,0.00,0.00,3.00,13.00,6.00,22.00,4.00,5.00,4.00,5.00
TZ051,R,45892,1.00,1.00,2.00,14.00,4.00,22.00,4.00,5.00,4.00,5.00
TZ052,R,45893,0.00,0.00,0.00,9.00,12.00,21.00,5.00,5.00,5.00,5.00
TZ053,R,45894,0.00,0.00,4.00,15.00,0.00,19.00,4.00,5.00,4.00,5.00
TZ054,R,45895,0.00,1.00,6.00,9.00,6.00,22.00,4.00,5.00,4.00,5.00
TZ055,R,45896,0.00,0.00,1.00,8.00,12.00,21.00,5.00,5.00,5.00,5.00
TZ056,R,45897,0.00,1.00,3.00,10.00,8.00,22.00,4.00,5.00,4.00,5.00
TZ057,R,45898,1.00,5.00,9.00,6.00,1.00,22.00,3.00,4.00,3.00,4.00
TZ058,U,45899,0.00,0.00,0.00,6.00,14.00,20.00,5.00,3.00,5.00,3.00
TZ059,U,45900,0.00,0.00,0.00,4.00,18.00,22.00,5.00,4.00,5.00,4.00
TZ060,U,45901,0.00,0.00,0.00,8.00,13.00,21.00,5.00,3.00,5.00,3.00
TZ061,R,45902,0.00,0.00,6.00,15.00,1.00,22.00,4.00,5.00,4.00,5.00
TZ062,R,45903,0.00,0.00,6.00,7.00,6.00,19.00,4.00,5.00,4.00,5.00
TZ063,R,45904,1.00,7.00,9.00,5.00,0.00,22.00,3.00,4.00,3.00,4.00
