fidN200,Cluster_code,ADM1NAMEC254,URBAN_RURAC254,LATNUMN2415,LONGNUMN2415,CorrectedLatitude,CorrectedLongitude,Estimated_dislocation_km,Suburb_town_village,regionC254,educationN2415,time2waterN2415,time2wat_1N2415,electricitN2415,radio_fN2415,tv_fN2415,refridgeraN2415,bicycle_fN2415,motorcycleN2415,car_fN2415,V005_sumN2415,chborn_meaN2415,chdied_meaN2415,poorest_meN2415,poorer_meaN2415,middle_meaN2415,richer_meaN2415,richest_meN2415,discard_houshold_iN100,gini2aN2415,meiEAN2415,fidN200_A,Very_poor,Poor,Average,Wealthy,Very_wealthy,Total_ratings,Median_rating,Poorest_weight,poor_weight,Middle_weight,Wealthy_weight,Wealthiest_weight,buildings_size,roofing_material,roofingcondition,larger_buildings,settlement_structure,building_density,greenery,dominant_landuse,image_colour,road_surface_quality,road_width,roads_coverage,vehicles_presence,farm_sizes,hv270_1_poorest,hv270_2_poor,hv270_3_middle,hv270_4_rich,hv270_5_richest,household_total,mean_score270_comb_R_U,mean270_R_U_separated,median_score_comb_R_U_270,median270a_U_R_separated,Recoded_building_size,Recoded_roofing_mat,Recoded_Roofing_condition,Recoded_Taller_Buildings,Recoded_Gridded,Recoded_clustered,Recoded_scattered,Recoded_low_building_density,Recoded_medium_building_density,Recoded_high_building_density,Recoded_low_greenery,Recoded_medium_greenery,Recoded_high_greenery,Recoded_barelands_dominant,Recoded_agriculture_dominant,Recoded_builtup_dominant,Recoded_image_colouration,Recoded_tarred_road,Recoded_untarred_road,Recoded_wider_roads,Recoded_narrow_roads,Recoded_low_road_coverage,Recoded_high_road_coverage,Recoded_farms_Absent,Recoded_smallfarms,Recoded_largefarms,Recoded_vehicular_presence,Recoded_web_welfare_quintiles,PRE_1,PCP_1
45842,TZ001,Dodoma,R,-4.726,35.913,-4.715,35.917,1,Pahi,Dodoma,1,176.111,140.258,0.056,0.111,0,0,0.389,0.056,0,29606544,4.444,0.556,0.222,0.5,0.222,0.56,0,18,0.073,157932.056,45842,0,9,18,15,0,42,3,0,0.214285714285714,0.428571428571429,0.357142857142857,0,2,2,3,1,3,2,1,3,1,1,1,3,1,3,4,11,6,1,0,22,2,3,2,3,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,1,0,0,1,3,2,0.5
45843,TZ002,Dodoma,R,-4.364,35.853,-4.356,35.831,2.59,Darajani,Dodoma,2,200.313,116.797,0,0.563,0,0,0.688,0.125,0,26691760,3.75,0.25,0.125,0.25,0.5,0.125,0,16,0.087,163999.625,45843,1,13,24,4,0,42,3,0.023809523809524,0.30952380952381,0.57142857142857,0.095238095238096,0,2,2,3,1,1,3,2,3,3,1,1,2,0,2,3,5,12,1,0,21,3,3,3,3,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,3,3,0.45
45844,TZ003,Dodoma,U,-4.904,35.77,-4.907,35.781,1.15,Kondoa,Dodoma,2,0,0,0.296,0.333,0.148,0.037,0.148,0.296,0.037,35475273,2.519,0.185,0.37,0.37,0.148,0.481,0.296,27,0.16,272391.333,45844,0,0,17,17,9,43,4,0,0,0.395348837209302,0.395348837209302,0.209302325581395,2,2,3,2,3,3,2,3,3,1,1,2,2,3,2,1,4,8,7,22,4,2,4,1,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,4,3,0.5
45845,TZ004,Dodoma,R,-4.616,35.8,-4.601,35.808,1.95,Masange,Dodoma,2,35,25.658,0,0.316,0.105,0,0.211,0.105,0,28510070,2.895,0.211,0,0.263,0.263,0.474,0,19,0.124,207163.526,45845,0,15,19,5,2,41,3,0,0.365853658536585,0.463414634146341,0.121951219512195,0.048780487804879,1,2,2,1,2,2,1,1,1,1,1,1,0,3,1,4,6,9,0,20,3,4,3,4,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,3,2,0.61
45846,TZ005,Dodoma,R,-6.693,36.16,-6.71,36.165,2.57,Kinyika,Dodoma,2,50,29.889,0,0.563,0,0,0.438,0,0,20650880,3.563,0.625,0.438,0.63,0.438,0.63,0,16,0.115,157180.938,45846,6,21,13,2,1,43,2,0.13953488372093,0.488372093023256,0.302325581395349,0.046511627906977,0.023255813953489,1,2,3,1,2,1,2,1,1,1,1,3,0,3,10,3,7,1,0,21,2,2,2,2,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,0,0,2,2,0.58
45847,TZ006,Dodoma,R,-6.499,36.19,-6.5,36.201,1.24,Chitemo,Dodoma,1,61.538,43.175,0,0.308,0,0,0.231,0.077,0,20487844,3.846,0.231,0.769,0.77,0.77,0.77,0,13,0.1,137056.692,45847,2,20,11,6,1,40,2,0.05,0.5,0.275,0.15,0.025,1,2,2,99,2,2,2,1,1,1,3,2,0,3,15,2,1,1,0,19,1,2,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,0,0,2,2,0.46
45848,TZ007,Dodoma,R,-5.671,36.402,-5.687,36.404,1.78,Zoissa-Kinangali,Dodoma,2,14.105,14.632,0,0.211,0,0,0.368,0.053,0,31074006,2.842,0.316,0,0.737,0.15,0.158,0,19,0.063,166199.895,45848,7,18,8,4,1,38,2,0.184210526315789,0.473684210526316,0.210526315789474,0.105263157894737,0.026315789473685,1,2,1,1,1,2,1,1,1,1,3,2,0,2,1,13,3,3,1,21,3,3,2,3,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,2,2,0.5
45849,TZ008,Dodoma,R,-6.354,36.679,-6.378,36.677,2.56,Mseta A,Dodoma,2,8.267,8.379,0.133,0.467,0.133,0,0.267,0,0,27589695,2.533,0.4,0.67,0.133,0.6,0.133,0.67,15,0.136,191124.667,45849,4,22,14,1,0,41,2,0.097560975609757,0.536585365853659,0.341463414634146,0.02439024390244,0,1,2,2,1,2,2,2,1,1,1,1,2,0,3,1,3,13,3,1,21,3,4,3,4,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,0,0,2,2,0.55
45850,TZ009,Dodoma,R,-5.462,35.913,-5.467,35.915,0.6,Kwahemu,Dodoma,1,36.818,32.579,0,0.364,0,0,0.545,0.091,0,15461380,4.091,0.636,0.364,0.273,0.273,0.91,0,11,0.102,152414.364,45850,6,20,13,2,0,41,2,0.146341463414634,0.48780487804878,0.317073170731707,0.048780487804879,0,1,2,3,1,1,1,2,1,1,1,2,2,0,2,8,5,6,1,0,20,2,3,2,3,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,2,2,0.54
45851,TZ010,Dodoma,R,-6.244,36.221,-6.237,36.166,5.81,Ikowa,Dodoma,1,73.462,83.576,0,0.286,0,0,0.214,0,0,32461744,3.786,0.5,0.714,0.143,0,0.143,0,14,0.128,139095.714,45851,6,20,14,1,0,41,2,0.146341463414634,0.48780487804878,0.341463414634146,0.02439024390244,0,1,2,2,1,2,1,1,1,1,1,1,2,0,3,13,4,0,2,0,19,2,2,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,1,0,0,0,2,2,0.61
